,Adresse,lat,lon,Firmen,Telbuch
1577,"Oberer Chämletenweg 33B, 6333 Hünenberg See",47.1711238,8.4478458,1,0
1581,"Oberer Chämletenweg 35A, 6333 Hünenberg See",47.1709518,8.4478636,1,2
1585,"Oberer Chämletenweg 34D, 6333 Hünenberg See",47.1710088,8.447576999999999,1,1
1586,"Oberer Chämletenweg 34C, 6333 Hünenberg See",47.1710812,8.4475676,1,1
1594,"Obere Rebhalde 30, 6340 Baar",47.2062659,8.5213248,1,1
1596,"Obere Rebhalde 20, 6340 Baar",47.205929,8.5208032,1,2
1597,"Obere Rebhalde 16, 6340 Baar",47.2058766,8.5203438,1,1
1600,"Obere Rebhalde 11, 6340 Baar",47.2064841,8.5206918,1,1
1606,"Oberer Chämletenweg 42A, 6333 Hünenberg See",47.16930420000001,8.4479743,1,1
1616,"Obermatt , 631502 Alosen",12.8996987,9.67266320000002,1,0
1628,"Oberer Chämletenweg 47A, 6333 Hünenberg See",47.1690497,8.4482729,1,1
1629,"Oberer Chämletenweg 42B, 6333 Hünenberg See",47.169232,8.4479993,1,1
1635,"Obere Altstadt 7, 630005 Zug",47.1661672,8.5154946,1,0
1696,"Poststrasse 1, 6340 Baar",47.1947885,8.5240907,1,7
1701,"Platzwehri , 6300 Zug",47.15582999999999,8.5314882,1,1
1726,"Warthstrasse 2, 631503 Oberägeri",47.1036504,8.6405447,1,0
1741,"Zythusweg 14, 6333 Hünenberg See",47.1735019,8.4473147,1,0
1742,"Zythusweg 28, 6333 Hünenberg See",47.1723124,8.447888599999999,1,1
1745,"Poststrasse 3, 6341 Baar",47.1949845,8.5236062,1,0
1746,"Zythusweg 6, 6333 Hünenberg See",47.1734968,8.447894999999999,1,0
1766,"Zugerbergstrasse 18, 6314 Neuägeri",47.13665990000001,8.582033599999999,1,0
1772,"Werkstattgasse 2, 6330 Cham",47.1848809,8.4567066,1,1
1774,"Oberneuhofstrasse 13, 6341 Baar",47.186783,8.51671,1,0
1825,"St. Andreas 3, 6330 Cham",47.1792058,8.466539299999999,1,0
1840,"Schwandenstrasse 9, 631502 Alosen",12.8996987,9.67266320000002,1,0
1849,"Schönegg , 6343 Rotkreuz",47.1313593,8.4411986,1,2
1858,"Spiess , 6330 Cham",47.1891362,8.4617305,1,3
1866,"Schwandstrasse 8, 631502 Alosen",12.8996987,9.67266320000002,1,0
1867,"Schwandstrasse 18, 631502 Alosen",12.8996987,9.67266320000002,1,0
1868,"Zugerstrasse 160, 631401 Neuägeri",47.2300257,8.6277184,1,0
1912,"St. Oswalds-Gasse 10, 6300 Zug",47.1655417,8.5157515,1,4
1921,"St. Oswaldsgasse 14, 6300 Zug",47.16545439999999,8.5156419,1,1
1932,"Schlattwäldli 2, 6333 Hünenberg See",47.1800347,8.4305107,1,0
1953,"Sonnhalde , 631302 Edlibach",13.1033391,9.3690831,1,0
1964,"Sihlbruggstrasse 138, 6340 Baar",47.2150489,8.5703825,1,1
1973,"Sonnackerstrasse 18, 6340 Baar",47.1975361,8.5158531,1,0
1981,"Sihlbruggstrasse 152, 6340 Baar",47.2158024,8.573677,1,2
2051,"Seefeld 3, 634303 Rotkreuz",47.3300017,1.1877742,1,0
2052,"Seeblickweg 8, 634302 Buonas",47.1412084,8.4554342,1,0
2060,"Sonnweidweg 4, 631302 Edlibach",13.1033391,9.3690831,1,0
2084,"Seemattstrasse 9, 6333 Hünenberg See",47.1741817,8.4517737,1,1
2085,"Seemattstrasse 6, 6333 Hünenberg See",47.1732844,8.452115800000001,1,0
2087,"Seemattstrasse 3, 6333 Hünenberg See",47.1738042,8.450789799999999,1,6
2088,"Seemattstrasse 27, 6333 Hünenberg See",47.1746452,8.4513071,1,2
2090,"Seemattstrasse 23A, 6333 Hünenberg See",47.1748772,8.451522599999999,1,0
2092,"Seemattstrasse 21B, 6333 Hünenberg See",47.17474989999999,8.4516784,1,1
2094,"Seemattstrasse 1, 6333 Hünenberg See",47.1736374,8.451340799999999,1,10
2120,"Rosenbergweg 8A, 6300 Zug",47.1657407,8.520373,1,4
2138,"Suurstoffi 9B, 6343 Rotkreuz",47.1442922,8.4348908,1,3
2144,"Talacherstrasse 12, 6340 Baar",47.1809716,8.5335582,1,4
2189,"Untere Allmendstrasse 3A, 6312 Steinhausen",47.19029210000001,8.4884931,1,0
2191,"Rigistrasse 178, 6340 Baar",47.1834302,8.5313655,1,6
2274,"Sattelstrasse 8, 6315 Morgarten",47.1036118,8.640518199999999,1,0
2276,"Sattelstrasse 5, 6315 Morgarten",47.1036118,8.640518199999999,1,7
2317,"Suurstoffi 15B, 6343 Rotkreuz",47.1448293,8.4355842,1,1
2318,"Suurstoffi 22, 6343 Risch",47.1445103,8.4365433,1,0
2342,"Zugerstrasse 156, 631401 Neuägeri",47.2300257,8.6277184,1,0
2351,"Langweid 3, 6333 Hünenberg See",47.1793837,8.4453938,1,6
